gender,age_range,city_name,state_name,country_name,user_count,subject,description,link,image_link,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10
male,25-34,San Diego,California,United States,2,"Hr. Troels, Dem Danes & Albin Loán - Teach Me How To Love (Radio Edit)",Chill undiscovered pop song,https://www.youtube.com/watch?v=jDifrbFTGT8,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/05e26ceb-5e13-4d9b-92fa-bd361907a399_1630473453151_14149ddf_e243_4ffc_b872_66810804ae1f.jpg,white,Troels,tmh,Teach me how to love,Teach,spotify,Radio,pop,outnow,newsingle
male,25-34,San Diego,California,United States,3,Mncane - Muzi,,https://www.youtube.com/watch?v=F1eIvbA_DvE,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/e429b503-d600-4c81-8f52-0d00de8588e1_1630477794562_0e1f8faf_0087_4b14_83de_072122d50e35.jpg,different,african,music,beat,Zeno,Soweto,south african,Samthing,Muzi,Mncane
female,18-24,Paramus,New Jersey,United States,1,The Office | Peacock,"Upset that your favorite office comedy has recently left Netflix? Don’t worry, join the streaming platform, Peacock, to watch all episodes of the Office and much more - including never before seen BTS content! ",https://www.peacocktv.com/stream-tv/the-office,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/b3977250-90bc-410d-805a-c9c9827893e2_1630476848123_6ab54106_d030_41c3_a618_3a0d56f519df.jpg,tv shows,the office,subscription,streaming,popular shows,peacock,Michael scott,drama,comedy ,behind the scenes
male,25-34,San Diego,California,United States,1,Chilling Adventures of Sabrina | Season 2,Season 2 out now. Great series. Can’t wait to binge watch this new season.,https://www.imdb.com/title/tt7569592/episodes?season=2,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/89dfe08d-e2e0-450f-adef-24899461195a_1630476031166_5ec02e58_bca3_4864_9e26_0f2aeca06fb4.jpg,Witch,Teenage witch,Science fiction,Horror,High school,Fantasy,Coming of age,Tv shows,Tv show,Tv
female,25-34,Naperville,Illinois,United States,1,The Twelve Dates of Christmas,"This is like a Hallmark movie but in book format. Super cute, super-fast read following Kate as she goes on 12 dates before Christmas to find Mr. Right.",https://www.barnesandnoble.com/w/the-twelve-dates-of-christmas-jenny-bayliss/1136127805?ean=9780593085387,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/28d1fd84-6c3f-49c2-acd0-ea9c5ba76548_1630474137628_99351da4_a966_4dc1_9aea_7f5fddc0d86e.jpg,Reading,Novel,Hallmark,Fiction,Christmas,Chick Lit,,,,
male,25-34,San Diego,California,United States,3,"El Patron Traditional Mexican Grill - Mira Mesa - San Diego, CA",,https://www.yelp.com/biz/el-patron-traditional-mexican-grill-san-diego,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/5d14b0a9-6732-4f35-a4b3-a2bb6d126c11_1630475139177_0dbfffd2_13ca_4176_964d_36835c3607f1.jpg,San Francisco,restaurant,Mexican,Yelp,Traditional,sushi,store,spa,shopping,San
male,25-34,San Diego,California,United States,3,Destination Wedding | caboazulresort.com,"I attended a wedding here in June of 2018 and it made me consider having a destination wedding myself. I had so much fun & not to mention but Javiers Mexican Restaurant which also has locations in San Diego and Newport Beach, originated in Cabo and is located at this resort. So the food was catered by them at the wedding and was such a hit for all th guests. What’s better than celebrating love, while on vacation, with great food, and all your favorite people. 10/10 recommend a destination wedding here!",https://www.caboazulresort.com/weddings,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/e665c48b-f87b-431e-acf3-44e873eee316_1630477835705_ce78d1de_09ce_46e0_b0bc_7a68aca2b30f.jpg,Luxurious,weddings,travel,elegant,destination,wedding,gorgeous,beautiful,Wedding planning,wedding destinations
male,25-34,San Diego,California,United States,2,James Blake - Mile High feat. Travis Scott and Metro Boomin (Official Audio),"This whole album is gorgeous but I'm an especially big fan of this track. Travis Scott and James Blake create the ultimate dark, moody vibe and the production is sensational.",https://www.youtube.com/watch?v=PWPafG8wEvc,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/03cace3d-6d2c-446d-8547-ab617d5cafd6_1630473415313_95853258_2de1_4cf5_a30b_26262b8897b2.gif,wavy,vibe,Travis Scott,Travis,sensual,Scott,sad boy,Sad boi,New Music,new james blake
female,25-34,San Diego,California,United States,1,Thinking Too Much - Ross Grieb,some more lover boy music,https://open.spotify.com/album/6apcwjtBrkAJpz4KIp12CW,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/ad5653cb-2e9d-4774-a6ec-1428561c9c99_1630476723708_a9ebda8f_a029_4594_8460_179b597c6e87.jpg,pop,male vocals,lyrical,lover boy,laidback,edm,chill,Too,thinking too much,Thinking
female,18-24,Los Angeles,California,United States,1,Flourless Peanut Butter Oatmeal Chocolate Chip Cookies | Ambitious Kitchen,"Who would have thought that flourless gluten free cookies would taste better than the real deal? If your like me and prefer soft and chewy cookies then do yourself a favor and take 20 minutes out of your life to make these delicious babies. Quick, Easy, & Satisfying. Doesn’t get better than that!",https://www.ambitiouskitchen.com/peanut-butter-oatmeal-chocolate-chip-cookies-flourless-no-butter/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/74d83998-edb4-483e-a4b3-84c98aebc721_1630475619261_ec38a371_904b_46ef_bac2_c426fa9afcba.jpg,Health,delicious,Tasty,recipes,Quick,Guilt free dessert,gluten free,desserts,Dessert,Chocolate
male,18-24,San Diego,California,United States,3,A$AP Rocky - Lord Pretty Flacko Jodye 2 (LPFJ2),,https://www.youtube.com/watch?v=dcDqi6XQkfM,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/c5ccccbc-1352-4b33-8340-be0944bad78c_1630477216174_63880e98_403f_4cfd_8678_ebfd34c79765.gif,Rap,hype,party,turnt,music,lit,A$AP Rocky,songs,song,LPFJ2
